,latency
127,1.115e-05
128,1.013e-05
129,1.0169999999999992e-05
130,1.8830000000000008e-05
131,1.2149999999999997e-05
132,2.1929999999999988e-05
133,1.9e-05
134,1.0129999999999986e-05
135,1.943999999999999e-05
136,1.2969999999999993e-05
137,1.833999999999999e-05
138,1.5759999999999998e-05
139,9.870000000000012e-06
140,1.1499999999999981e-05
141,1.4550000000000001e-05
142,9.869999999999999e-06
143,2.4910000000000004e-05
144,1.210999999999999e-05
145,1.3940000000000005e-05
146,1.1949999999999992e-05
147,1.0689999999999994e-05
148,1.4359999999999991e-05
149,1.9800000000000007e-05
150,1.2210000000000007e-05
151,2.3480000000000012e-05
152,1.0990000000000002e-05
153,1.7810000000000007e-05
154,1.0519999999999987e-05
155,1.686000000000001e-05
156,9.909999999999992e-06
157,1.2980000000000001e-05
158,2.3900000000000012e-05
159,1.006999999999999e-05
160,1.2909999999999997e-05
161,1.2090000000000015e-05
162,1.0280000000000003e-05
163,1.8479999999999986e-05
164,1.4600000000000003e-05
165,1.2830000000000011e-05
166,1.4760000000000015e-05
167,1.1560000000000005e-05
168,1.315999999999999e-05
169,1.938999999999999e-05
170,1.8650000000000006e-05
171,1.0090000000000007e-05
172,1.6729999999999997e-05
173,1.1999999999999994e-05
174,1.006999999999999e-05
175,1.3260000000000019e-05
176,9.90000000000001e-06
177,1.0839999999999998e-05
178,1.0490000000000003e-05
179,1.0360000000000002e-05
180,1.2889999999999993e-05
181,1.0359999999999989e-05
182,1.3319999999999988e-05
183,1.0150000000000003e-05
184,1.204e-05
185,1.0759999999999985e-05
186,1.4100000000000017e-05
187,1.0759999999999985e-05
188,1.1449999999999994e-05
189,1.087000000000001e-05
190,1.06e-05
191,1.0800000000000005e-05
192,1.542000000000001e-05
193,1.108999999999999e-05
194,1.2660000000000004e-05
195,1.0249999999999992e-05
196,1.3980000000000012e-05
197,1.06e-05
198,1.458e-05
199,1.2430000000000015e-05
200,1.0080000000000012e-05
201,2.503000000000001e-05
202,1.0590000000000005e-05
203,9.630000000000001e-06
204,1.2389999999999995e-05
205,1.244000000000001e-05
206,9.979999999999996e-06
207,1.2699999999999997e-05
208,1.4829999999999992e-05
209,1.019000000000001e-05
210,1.0270000000000008e-05
211,9.760000000000001e-06
212,1.2500000000000006e-05
213,1.2470000000000008e-05
214,1.244000000000001e-05
215,1.558999999999999e-05
216,1.0420000000000026e-05
217,2.175999999999998e-05
218,1.0129999999999986e-05
219,1.6289999999999995e-05
220,1.3909999999999994e-05
221,1.0410000000000004e-05
222,1.3719999999999997e-05
223,1.0759999999999999e-05
224,1.2039999999999986e-05
225,1.0230000000000002e-05
226,1.3619999999999995e-05
227,1.825000000000001e-05
228,9.689999999999997e-06
229,1.369e-05
230,1.0019999999999989e-05
231,1.4249999999999994e-05
232,1.0289999999999998e-05
233,1.3219999999999999e-05
234,1.0479999999999995e-05
235,9.45e-06
236,1.1700000000000013e-05
237,1.1270000000000006e-05
238,1.2209999999999993e-05
239,1.0070000000000004e-05
240,9.29e-06
241,1.3099999999999993e-05
242,1.0569999999999989e-05
243,1.5009999999999994e-05
244,1.3239999999999988e-05
245,9.589999999999995e-06
246,2.3010000000000012e-05
247,1.0440000000000002e-05
248,1.1419999999999996e-05
249,1.0220000000000007e-05
250,1.0650000000000001e-05
251,1.1270000000000006e-05
252,9.600000000000017e-06
253,1.0620000000000003e-05
254,1.0490000000000003e-05
255,1.6289999999999995e-05
256,1.0780000000000002e-05
257,9.700000000000019e-06
258,1.1860000000000012e-05
259,2.893000000000001e-05
260,1.2859999999999995e-05
261,1.2760000000000007e-05
262,1.62e-05
263,2.539e-05
264,1.0990000000000002e-05
265,9.440000000000004e-06
266,1.068e-05
267,1.3830000000000008e-05
268,1.2220000000000002e-05
269,1.1240000000000008e-05
270,9.719999999999995e-06
271,1.2729999999999995e-05
272,1.5640000000000006e-05
273,1.9760000000000014e-05
274,1.1559999999999991e-05
275,9.100000000000004e-06
276,9.279999999999992e-06
277,1.0620000000000003e-05
278,1.0380000000000006e-05
279,1.5269999999999994e-05
280,1.2839999999999992e-05
281,2.4659999999999998e-05
282,1.2039999999999986e-05
283,2.8990000000000005e-05
284,1.756e-05
285,1.1090000000000004e-05
286,1.1540000000000001e-05
287,9.85999999999999e-06
288,1.5610000000000008e-05
289,1.0289999999999984e-05
290,1.2180000000000009e-05
291,2.0820000000000007e-05
292,1.0560000000000007e-05
293,9.890000000000002e-06
294,1.4639999999999982e-05
295,1.0960000000000017e-05
296,1.0529999999999996e-05
297,1.0170000000000006e-05
298,2.1480000000000018e-05
299,9.71e-06
300,1.0929999999999978e-05
301,1.1759999999999996e-05
302,1.683999999999998e-05
303,1.024000000000001e-05
304,1.9670000000000006e-05
305,1.1910000000000013e-05
306,1.1330000000000002e-05
307,9.719999999999995e-06
308,1.115e-05
309,1.034e-05
310,1.319e-05
311,1.2939999999999995e-05
312,1.1050000000000011e-05
313,1.5529999999999995e-05
314,2.372999999999999e-05
315,1.1010000000000005e-05
316,1.5609999999999995e-05
317,1.4469999999999989e-05
318,1.1510000000000003e-05
319,1.4479999999999983e-05
320,9.910000000000005e-06
321,1.0709999999999997e-05
322,1.0650000000000001e-05
323,1.0640000000000007e-05
324,1.382e-05
325,1.0550000000000012e-05
326,1.202000000000001e-05
327,1.1329999999999988e-05
328,1.778000000000001e-05
329,9.870000000000012e-06
330,1.026e-05
331,1.2980000000000001e-05
332,1.2429999999999988e-05
333,1.0239999999999983e-05
334,1.2810000000000008e-05
335,1.6720000000000003e-05
336,1.0769999999999993e-05
337,1.0629999999999998e-05
338,1.484e-05
339,1.1930000000000003e-05
340,1.0849999999999993e-05
341,1.236000000000001e-05
342,1.4780000000000004e-05
343,1.0249999999999992e-05
344,1.2719999999999987e-05
345,1.073e-05
346,1.8560000000000012e-05
347,1.0800000000000005e-05
348,1.4040000000000008e-05
349,1.3230000000000007e-05
350,1.0490000000000003e-05
351,1.212e-05
352,1.2450000000000004e-05
353,2.204e-05
354,1.039e-05
355,1.7119999999999985e-05
356,9.810000000000003e-06
357,9.429999999999996e-06
358,1.034999999999998e-05
359,1.1630000000000009e-05
360,1.2640000000000001e-05
361,1.1229999999999986e-05
362,1.1280000000000014e-05
363,1.6400000000000006e-05
364,1.1119999999999988e-05
365,2.3731000000000007e-05
366,2.9029999999999985e-05
367,1.9750000000000006e-05
368,1.2019999999999997e-05
369,2.7649999999999994e-05
370,1.1929999999999989e-05
371,1.0089999999999993e-05
372,1.1449999999999994e-05
373,1.013e-05
374,1.2669999999999999e-05
375,1.0329999999999991e-05
376,9.769999999999996e-06
377,1.2329999999999999e-05
378,9.409999999999993e-06
379,1.163999999999999e-05
380,1.0109999999999996e-05
381,1.2899999999999988e-05
382,1.0629999999999998e-05
383,1.005e-05
384,1.731000000000001e-05
385,1.4470000000000016e-05
